2015-07-06 14:00:44.327184	10005
2015-07-06 14:01:24.523611	10011
2015-07-06 14:01:26.789611	10012
2015-07-06 14:08:32.809644	10005
2015-07-06 14:09:13.609302	10011
2015-07-06 14:09:15.932629	10012
2015-07-06 14:12:02.631507	10014
2015-07-06 14:12:13.682572	10016
2015-07-06 14:12:29.067928	10022
2015-07-06 14:12:31.693246	10024
2015-07-06 14:12:46.627509	100240474
2015-07-06 14:12:55.569670	10028
2015-07-06 14:13:06.962186	10030
2015-07-06 14:13:08.562378	10031
2015-07-06 14:13:42.758638	10032
2015-07-06 14:14:24.194320	10034610
2015-07-06 14:14:29.286660	10034779
2015-07-06 14:14:30.487858	10035
2015-07-06 14:14:35.545630	10035298
2015-07-06 14:14:36.331264	10035422
2015-07-06 14:14:37.382056	10036145
2015-07-06 14:14:38.311593	10036341
2015-07-06 14:14:39.816146	10037132
2015-07-06 14:14:40.935748	10038
2015-07-06 14:15:05.357575	10041
2015-07-06 14:15:33.209183	100419396
2015-07-06 14:15:34.501758	100419431
2015-07-06 14:15:41.546448	100419435
2015-07-06 14:15:42.390235	100419452
2015-07-06 14:15:42.650600	10042
2015-07-06 14:16:15.779430	100443864
2015-07-06 14:16:16.496143	10045
2015-07-06 14:16:25.281563	10046
2015-07-06 14:16:39.825788	10047
2015-07-06 14:16:48.660275	10048
2015-07-06 14:17:47.968156	10049
2015-07-06 14:17:56.868818	10050
2015-07-06 14:17:59.835798	10051
2015-07-06 14:18:04.386299	10053
2015-07-06 14:18:46.699086	10057
2015-07-06 14:19:13.584582	10058
2015-07-06 14:19:29.869661	10063
2015-07-06 14:19:48.897347	10072
2015-07-06 14:20:06.440757	10073
2015-07-06 14:20:11.132420	10074
2015-07-06 14:20:23.191702	10075
2015-07-06 14:20:46.360401	10077
2015-07-06 14:20:47.536358	10079
2015-07-06 14:20:50.827410	10085
2015-07-06 14:20:54.895759	10087
2015-07-06 14:21:12.738822	10088
2015-07-06 14:22:12.300124	10090
2015-07-06 14:22:53.828579	10091
2015-07-06 14:22:57.528798	10095
2015-07-06 14:24:37.667266	10097
2015-07-06 14:27:53.078963	10098
2015-07-06 14:28:20.539732	10103
2015-07-06 14:28:27.148585	10116
2015-07-06 14:28:58.141945	10119
2015-07-06 14:29:20.151175	10123
2015-07-06 14:29:33.927087	10126
2015-07-06 14:30:58.916978	10129
2015-07-06 14:31:04.409145	101304
2015-07-06 14:33:03.393267	10132
2015-07-06 14:33:07.435153	10140
2015-07-06 14:33:21.860930	10144
2015-07-06 14:34:45.192395	10145
2015-07-06 14:35:03.135168	10146
2015-07-06 14:37:30.383047	10149
2015-07-06 14:37:38.391943	101491931
